ArtikkelNr;Beskr;LevNr;LevKod;LevFargKod;Sasong;KjedeInnkPris;TotalLagerBeh;RegistrertDato;SistEndretDato;Antall;But. med lager;Lager ant. pr. butikk;Strekkoder
9810924;SOLID WOOL KNIT GLOVES;40;93000;90;201803;0;18;07/09/09;22/11/19;3;1;18;7322620225391,7322620233969,7322621372650,7322621372667
9803499;NAPPA GLOVES G.N.H.;40;93004;5;201603;0;0;07/09/06;22/11/19;3;;;7322622670861,7322622678812,7322622678836
9805529;G.N.H. NAPPA GLOVES;40;93004;5;201703;0;0;04/09/07;22/11/19;3;;;7322624734769,7322624734806,7322624734820
9808591;NAPPA GLOVES;40;93004;5;201803;0;1;20/08/08;05/03/20;3;1;1;7322627074817,7322627074824,7322627074831
9810754;NUBUCK GLOVES;40;93005;5;201103;119,98;20;12/08/09;05/03/20;2;1|20;18|2;0200001035166,0200001035173,7322627074893,7322629891238,7322629891245,7322629891252,7322629891269
9803456;NUBUCK GLOVES G.N.H.;40;93005;5;201603;0;0;01/09/06;22/11/19;2;;;7322622676368,7322622678935,7322622678959
9805261;G.N.H. MICRO FLEECE GLOVES;40;93013;410;201703;0;0;10/08/07;22/11/19;2;;;7322624735209,7322624735223
9810758;FLEECE GLOVES;40;93013;410;201803;0;0;12/08/09;22/11/19;2;;;7322620245498,7322620245504
9814933;SOLID FLEECE GLOVE;40;93013;5;201203;23,65;0;06/10/10;05/03/20;3;;;0200001074424,0200001074431,7322624526821,7322624527194
9805262;G.N.H. MICRO FLEECE GLOVES;40;93013;5;201703;0;0;10/08/07;22/11/19;3;;;7322624735193,7322624735216
9810759;FLEECE GLOVES;40;93013;5;201803;0;0;12/08/09;22/11/19;3;;;7322620245344,7322620245368
9814934;SOLID FLEECE GLOVE;40;93013;91;201203;23,65;0;06/10/10;05/03/20;2;;;7322624526838,7322624527200
9810760;FLEECE GLOVES;40;93013;91;201803;0;0;12/08/09;22/11/19;2;;;7322620245450,7322620245467
9802882;RUGGER KNIT WRIST WARMER;40;93015;5;201603;283,33;7;31/07/06;22/11/19;2;1;7;7322622675002,7322622676399
9843770;O. CLASSIC DEERSKIN GLOVES;40;93015;5;201603;283,33;0;02/09/16;08/11/19;2;;;7325701017847,7325701017854,7325701017861,7325701017878
9805579;G.N.H. CLASSIC SUEDE GLOVE;40;93051;205;201703;0;0;05/09/07;22/11/19;2;;;0200001106903,0200001106910,7322623690066,7322623690073,7322623690080
9808475;CLASSIC SUEDE GLOVES;40;93051;205;201803;0;0;04/08/08;05/03/20;2;;;7322627075210,7322627075227,7322627075234,7322629891467,7322629891474,7322629891481
9805580;G.N.H. CLASSIC SUEDE GLOVE;40;93051;5;201703;0;0;05/09/07;22/11/19;2;;;0200001106927,0200001106934,7322623690028,7322623690035,7322623690042
9810905;CLASSIC SUEDE GLOVES;40;93051;5;201803;0;0;03/09/09;22/11/19;2;;;7322627075173,7322627075180,7322627075197,7322629891429,7322629891436,7322629891443
9805581;E.G. LAMB LEATHER GLOVE;40;93052;205;201703;0;10;05/09/07;22/11/19;2;1;10;7322623690141,7322623690158,7322623690165
9808473;LAMB LEATHER GLOVES;40;93052;205;201803;0;16;04/08/08;22/11/19;2;1;16;7322627075333,7322627075340,7322627075357
9805582;E.G. LAMB LEATHER GLOVE;40;93052;5;201703;0;20;05/09/07;22/11/19;2;1;20;0200001106781,0200001106798,7322623690103,7322623690110,7322623690127
9808474;LAMB LEATHER GLOVES;40;93052;5;201803;0;24;04/08/08;22/11/19;2;1;24;7322627075296,7322627075302,7322627075319
9800958;METAL G CUFF LINKS;40;93457;110;201503;0;0;16/09/05;30/03/20;2;;;7322628762065
9823406;G CUFFLINKS;40;93457;110;201601;0;0;09/02/12;22/11/19;2;;;0200001103117,0200001103124,7322620053437
9834232;LAMBSWOOL GLOVES W. FLEECE;40;93820;5;201403;85,59;0;16/09/14;08/11/19;2;;;7332972357527
9839432;LAMBSWOOL GLOVES W FLEECE;40;93820;5;201503;63,33;0;22/09/15;05/03/20;2;;;7325700249027
9804480;PLAIN BELT G.N.H.;40;94000;205;201701;147;0;22/02/07;22/11/19;2;;;7322629560127,7322629560134,7322629560141,7322629560158,7322629560165,7322629560172,7322629560189,7322629560196
9816210;PLAIN BELT;40;94000;205;201801;172,22;21;24/02/11;07/11/19;2;1|8|20;12|1|8;0200001019845,0200001019852,7322627078280,7322627078297,7322627078303,7322627078310,7322627078327,7322627078334,7322627078341,7322627078358,7322627078365
9802884;PLAIN BELT G.N.H.;40;94000;5;201701;147;0;31/07/06;22/11/19;2;;;7322622667236,7322622667250,7322622676993,7322622677006,7322622677013,7322622677129,7322622677143,7322622677167,7322629560028,7322629560035,7322629560042,7322629560059,7322629560066,7322629560073,7322629560080,7322629560097
9807797;PLAIN BELT;40;94000;5;201801;172,22;0;22/05/08;05/03/20;2;;;0200001019562,0200001019579,7322627078181,7322627078198,7322627078204,7322627078211,7322627078228,7322627078235,7322627078242,7322627078259,7322627078266,7322627078273
9823410;G.N.H. STITCHED LEATHER BELT;40;94002;205;201703;0;0;09/02/12;22/11/19;2;;;0200001103056,0200001103063,7322623816442,7322623816459,7322623816466,7322623816473,7322623816503
9808105;STITCHED LEATHER BELT;40;94002;205;201803;0;0;03/07/08;22/11/19;2;;;7322627078990,7322627079003,7322627079010,7322627079027,7322627079034,7322627079041,7322627079058,7322627079065
9805152;G.N.H. STITCHED LEATHER BELT;40;94002;5;201703;0;0;08/08/07;22/11/19;2;;;0200001107269,0200001107276,7322623816336,7322623816343,7322623816350,7322623816367,7322623816374,7322623816381,7322623816398,7322623816404
9808110;STITCHED LEATHER BELT;40;94002;5;201803;0;1;03/07/08;05/03/20;2;1;1;7322620141745,7322627078891,7322627078907,7322627078914,7322627078921,7322627078938
9810310;N.Y. GANT G BELT;40;94004;205;201303;117,67;14;06/07/09;07/11/19;4;1|14|20;8|2|4;0200001013072,7322620145132,7322620145149,7322620145156,7322620145163,7322620145170,7322620145187,7322620145194
9805153;G.N.H. GANT G BELT;40;94004;205;201703;0;0;08/08/07;22/11/19;4;;;7322623816992,7322623817005,7322623817012,7322623817029,7322623817036,7322623817043
9806622;GANT G BELT;40;94004;205;201803;0;1;16/01/08;22/11/19;4;1;1;7322625964226,7322625964233,7322625964240,7322625964257,7322625964264,7322625964271,7322625964288,7322627079492,7322627079508,7322627079515,7322627079522,7322627079539,7322627079546,7322627079553
9809208;GANT G  LEATHER BELT;40;94004;205;201901;0;8;15/01/09;07/11/19;4;1;8;7322621226939,7322621226946,7322621226953,7322621226960,7322621226977,7322621226984
9810311;N.Y. GANT G BELT;40;94004;5;201303;117,67;11;06/07/09;07/11/19;4;1|14|20;9|1|1;0200001013096,0200001090271,7322620145002,7322620145019,7322620145026,7322620145033,7322620145040,7322620145057,7322620145064
9802885;GANT G  BELT G.N.H.;40;94004;5;201603;0;0;31/07/06;22/11/19;4;;;7322622661531,7322622661555,7322622666796,7322622666819,7322622666833,7322622666864,7322622677235
9806623;GANT G BELT;40;94004;5;201801;0;0;16/01/08;22/11/19;4;;;0200001106149,0200001106156,7322625964073,7322625964097,7322625964134,7322625964141,7322625964165,7322625964172,7322625964189,7322625964196,7322627079393,7322627079409,7322627079416,7322627079423,7322627079430,7322627079447,7322627079454
9809209;GANT G  LEATHER BELT;40;94004;5;201901;0;0;15/01/09;07/11/19;4;;;7322621226830,7322621226847,7322621226854,7322621226861,7322621226878,7322621226885
