ArtikkelNr;Varetekst;LevKod;LevFargKod;Sesong;MainGroup;MainGrpTekst;ArtGroup;ArtGrpTekst;VVarekostL10;AntL10;VerdiL10;VVarekostL40;AntL40;VerdiL40;TotAnt;TotVerdi;LC;VerdiLCL10;VerdiLCL40
40593;STANFORD;GT020005;110;201801;1;Klokker;92;WATCHES;765;6;4590;765;0;0;6;4590;0;0;0
9805771;STAR BORDER P/C;20302;44138;201403;1030;LIVING ROOM;90;HOME;222;0;0;222;1;222;1;222;0;0;0
9805772;STAR BORDER P/C;20302;66038;201201;1030;LIVING ROOM;90;HOME;222;0;0;222;71;15762;71;15762;0;0;0
9806283;LT WEIGHT COTTON SLIPOVER;83070;405;201903;180;KNITWEAR;10;MEN;280;3;840;280;0;0;3;840;121,51;364,53;0
9806412;LIGHT WEIGHT COTTON V-NECK;83072;405;201903;180;KNITWEAR;10;MEN;350;2;700;350;4;1400;6;2100;139;278;556
9806415;LIGHT WEIGHT COTTON V-NECK;83072;5;201903;180;KNITWEAR;10;MEN;350;2;700;350;0;0;2;700;139;278;0
9806419;LIGHT WEIGHT COTTON V-NECK;83072;93;201903;180;KNITWEAR;10;MEN;350;0;0;350;5;1750;5;1750;139;0;695
9806475;THE ORIGINAL PIQUE SS RUGGER;2201;5;202001;170;JERSEY;10;MEN;265;1;265;265;0;0;1;265;113,1;113,1;0
9807379;MULTISTAR BABY THROW 70x100 CM;42527;612;201403;50020;THROWS;90;HOME;365;12;4380;365;0;0;12;4380;0;0;0
9808005;MERCERIZED COTTON SOCKS;96000;5;201901;710;ACC-MEN;70;ACC;52;0;0;52;14;728;14;728;13,14;0;183,96
9808006;MERCERIZED COTTON SOCKS;96000;90;201901;710;ACC-MEN;70;ACC;52;0;0;52;34;1768;34;1768;13,14;0;446,76
9808618;10 STAR KNIT CUSHION 50x50 CM;52607;105;201201;5010;CUSHIONS;90;HOME;226;0;0;226;9;2034;9;2034;0;0;0
9808767;STRETCHPIKÉ W. V-PLACKET;406432;405;201804;170;JERSEY;40;WOMEN;240;1;240;240;0;0;1;240;0;0;0
9809067;THE ORIGINAL PIQUE SS RUGGER;2201;643;201903;170;JERSEY;10;MEN;265;0;0;265;6;1590;6;1590;113,1;0;678,6
9809095;LIGHT WEIGHT COTTON V-NECK;83072;495;201903;180;KNITWEAR;10;MEN;350;0;0;350;6;2100;6;2100;139;0;834
9809096;LT. WEIGHT COTTON V-NECK;83072;496;201903;180;KNITWEAR;10;MEN;315;0;0;315;2;630;2;630;139;0;278
9809212;3-PACK MERCERIZED COTTON SOCKS;96001;5;201901;710;ACC-MEN;70;ACC;140;0;0;140;2;280;2;280;26,94;0;53,88
9809342;GANT TWILL CAP;90000;110;201903;710;ACC-MEN;70;ACC;105;0;0;105;1;105;1;105;40,64;0;40,64
9810190;3-PACK MERCERIZED COTTON SOCKS;96001;410;201901;710;ACC-MEN;70;ACC;140;0;0;140;8;1120;8;1120;26,94;0;215,52
9810328;STRETCH LAMBSWOOL CABLE V-NECK;480442;115;201403;180;KNITWEAR;40;WOMEN;480;20;9600;480;0;0;20;9600;182,88;3657,6;0
9811499;STRETCH COTTON CABLE CREW;480021;662;201903;180;KNITWEAR;40;WOMEN;445;0;0;445;33;14685;33;14685;172,15;0;5680,95
9811605;LT. WEIGHT COTTON V-NECK;83072;688;201903;180;KNITWEAR;10;MEN;315;1;315;315;6;1890;7;2205;139;139;834
9811607;LIGHT WEIGHT COTTON V-NECK;83072;890;201903;180;KNITWEAR;10;MEN;315;0;0;315;1;315;1;315;139;0;139
9813166;CLASSIC OXFORD LS BD;350000;110;201403;160;SHIRTS;10;MEN;310;2;620;310;0;0;2;620;107,43;214,86;0
9814165;LT. WEIGHT COTTON V-NECK;83072;383;201903;180;KNITWEAR;10;MEN;335;0;0;335;3;1005;3;1005;139;0;417
9814908;BABY MINI STAR KNIT THROW 70x120 CM;42664;451;201403;50020;THROWS;90;HOME;505;1;505;505;0;0;1;505;0;0;0
9815408;CO POP STRETCH SHIRT;430949;110;201603;160;SHIRTS;40;WOMEN;345;1;345;345;0;0;1;345;160,88;160,88;0
9815644;LT WT COTTON SLIPOVER;83070;93;201903;180;KNITWEAR;10;MEN;245;0;0;245;1;245;1;245;121,51;0;121,51
9815690;THE ORIGINAL PIQUE SS RUGGER;2201;610;201903;170;JERSEY;10;MEN;265;0;0;265;2;530;2;530;113,1;0;226,2
9815842;STRIPE HAMMOCK;90800;467;201101;710;ACC-MEN;70;ACC;593;5;2965;593;0;0;5;2965;0;0;0
9816057;GANT SURFER MUG;95813;467;201101;90040;MUGS AND CUPS;90;HOME;72;0;0;72;6;432;6;432;0;0;0
9816058;GANT SURFER MUG;95813;641;201403;9040;MUGS AND CUPS;90;HOME;72;0;0;72;88;6336;88;6336;0;0;0
9818647;HIP BRIEF CTN STR SOLID;1201;110;201504;220;GANT UNDERWEAR;80;GANT UNDERWEAR;70;216;15120;70;0;0;216;15120;31,64;6834,24;0
9818649;BOXER BRIEF CTN STR SOLID;1204;110;201801;220;GANT UNDERWEAR;80;GANT UNDERWEAR;83;6;498;83;0;0;6;498;47,7;286,2;0
9818650;BOXER BRIEF CTN STR SOLID;1204;405;201801;220;GANT UNDERWEAR;80;GANT UNDERWEAR;83;939;77937;83;0;0;939;77937;47,7;44790,3;0
9818652;BOXER BRIEF CTN STR SOLID;1204;610;201801;220;GANT UNDERWEAR;80;GANT UNDERWEAR;83;5;415;83;0;0;5;415;47,7;238,5;0
9818653;BOXER BRIEF CTN STR SOLID;1204;93;201801;220;GANT UNDERWEAR;80;GANT UNDERWEAR;83;10;830;83;0;0;10;830;47,7;477;0
9818654;T-SHIRT CREW NECK CTN STR BASIC;1208;110;201504;220;GANT UNDERWEAR;80;GANT UNDERWEAR;100;0;0;100;18;1800;18;1800;45,21;0;813,78
9818655;T-SHIRT CREW NECK CTN STR BASIC;1208;5;201504;220;GANT UNDERWEAR;80;GANT UNDERWEAR;80;0;0;80;5;400;5;400;45,21;0;226,05
9818810;LEATHER WALLET;98306;5;201203;710;ACC-MEN;70;ACC;140;1;140;140;0;0;1;140;64,51;64,51;0
9818904;WHEAT BAG WARMER;87003;95;201401;20050;BAGS;90;HOME;333;0;0;333;1;333;1;333;0;0;0
9820140;STRETCH LAMBSWOOL CABLE CREW;480441;115;201603;180;KNITWEAR;40;WOMEN;480;1;480;480;0;0;1;480;236,29;236,29;0
9820522;LT. WEIGHT COTTON V-NECK;83072;906;201903;180;KNITWEAR;10;MEN;350;0;0;350;71;24850;71;24850;139;0;9869
9820832;ORIGINAL SLIM PIQUE SS RUGGER;2202;5;201901;170;JERSEY;10;MEN;265;1;265;265;0;0;1;265;80,39;80,39;0
9821291;LIGHT WEIGHT COTTON V-NECK;83072;392;201903;180;KNITWEAR;10;MEN;350;15;5250;350;2;700;17;5950;139;2085;278
9821292;LT. WEIGHT COTTON V-NECK;83072;491;201903;180;KNITWEAR;10;MEN;335;3;1005;335;0;0;3;1005;139;417;0
9821296;LT. WEIGHT COTTON V-NECK;83072;790;201903;180;KNITWEAR;10;MEN;315;0;0;315;3;945;3;945;139;0;417
9821297;LIGHT WEIGHT COTTON V-NECK;83072;891;201903;180;KNITWEAR;10;MEN;350;11;3850;350;9;3150;20;7000;139;1529;1251
9821508;KNIGHT STR. COMFORT JEAN T.;1301111;971;201401;150;JEANS;10;MEN;351;5;1755;351;1;351;6;2106;185,3;926,5;185,3
9821614;STRETCH OXFORD CLASSIC SHIRT;431445;662;201401;160;SHIRTS;40;WOMEN;320;0;0;320;22;7040;22;7040;132,49;0;2914,78
9821669;LT. WEIGHT COTTON CREW;83071;906;201903;180;KNITWEAR;10;MEN;350;0;0;350;2;700;2;700;145,71;0;291,42
9823762;NEWBORN KNITTED SET;783530;455;201203;180;KNITWEAR;30;BABY;260;0;0;260;4;1040;4;1040;129,73;0;518,92
9823763;NEWBORN KNITTED SET;783530;662;201203;180;KNITWEAR;30;BABY;260;0;0;260;2;520;2;520;129,73;0;259,46
9823905;KNIGHT STR. COMFORT JEAN T.;1301211;981;201401;150;JEANS;10;MEN;420;1;420;420;0;0;1;420;193,18;193,18;0
9824088;THE ORIGINAL SS T-SHIRT;234100;110;202001;170;JERSEY;10;MEN;140;0;0;140;1;140;1;140;58,08;0;58,08
9824118;NB LONGJOHNS;711005;34;201303;170;JERSEY;30;BABY;90;0;0;90;2;180;2;180;43,08;0;86,16
9824119;NB LONGJOHNS;711005;451;201303;170;JERSEY;30;BABY;88;0;0;88;2;176;2;176;43,08;0;86,16
9824120;NB LONGJOHNS;711005;662;201303;170;JERSEY;30;BABY;88;0;0;88;3;264;3;264;43,08;0;129,24
9824359;STRETCH COTTON CABLE V-NECK;480022;455;201903;180;KNITWEAR;40;WOMEN;410;0;0;410;11;4510;11;4510;171,17;0;1882,87
9824572;STRETCH OXFORD SOLID SHIRT;431437;662;201501;160;SHIRTS;40;WOMEN;320;48;15360;320;0;0;48;15360;144,21;6922,08;0
9824681;N.B. ZIP HOOD;706218;451;201401;170;JERSEY;30;BABY;183;0;0;183;1;183;1;183;91,26;0;91,26
9824682;N.B. ZIP HOOD;706218;662;201401;170;JERSEY;30;BABY;183;0;0;183;2;366;2;366;91,26;0;182,52
9824683;N.B.  SWEAT PANTS;711006;451;201503;140;PANTS;30;BABY;103,5;0;0;103,5;1;103,5;1;103,5;54,88;0;54,88
9824684;N.B.  SWEAT PANTS;711006;662;201503;140;PANTS;30;BABY;95;0;0;95;2;190;2;190;54,88;0;109,76
9824993;T-SHIRT CREW NECK CTN STR BASIC;1208;93;201504;220;GANT UNDERWEAR;80;GANT UNDERWEAR;80;0;0;80;5;400;5;400;45,21;0;226,05
9825062;CHRISTMAS DECORATION 3-PACK;87006;610;201401;180;KNITWEAR;10;MEN;79;0;0;79;24;1896;24;1896;0;0;0
9825560;VAREPRØVER STRIKK;480442;92;201403;180;KNITWEAR;40;WOMEN;48;7;336;48;5;240;12;576;182,88;1280,16;914,4
9825655;CHRISTMAS MUG;95821;610;201403;710;ACC-MEN;70;ACC;70;0;0;70;25;1750;25;1750;0;0;0
9825979;TANK TOP CTN STR BASIC;1207;5;201504;220;GANT UNDERWEAR;80;GANT UNDERWEAR;85;0;0;85;1;85;1;85;38,66;0;38,66
9826190;LONG JOHNS RUGBY;1406;405;201404;220;GANT UNDERWEAR;80;GANT UNDERWEAR;140;21;2940;140;1;140;22;3080;61,67;1295,07;61,67
9826191;LONG JOHNS RUGBY;1406;610;201404;220;GANT UNDERWEAR;80;GANT UNDERWEAR;140;43;6020;140;0;0;43;6020;61,67;2651,81;0
9826665;LIGHT WEIGHT COTTON V-NECK;83072;497;201903;180;KNITWEAR;10;MEN;350;0;0;350;7;2450;7;2450;139;0;973
9826720;ORIGINAL SLIM PIQUE SS RUGGER;2202;110;201901;170;JERSEY;10;MEN;265;2;530;265;0;0;2;530;80,39;160,78;0
9826830;BABY STAR KNIT CUSHION 35x35 CM;56044;278;201301;300;OTHERS;99;OTHER;166,5;0;0;166,5;3;499,5;3;499,5;0;0;0
9827620;MONTAUK CHECK THROW 130x180 CM;45138;458;201403;50020;THROWS;90;HOME;555;1;555;555;0;0;1;555;0;0;0
9828161;SOLID COTTON CABLE THROW 150x200 CM;46038;515;201301;5020;CUSHIONS;90;HOME;592;0;0;592;2;1184;2;1184;0;0;0
9828629;VAREPRØVER PANTS;139504;5;201403;140;PANTS;10;MEN;48;4;192;48;2;96;6;288;156,22;624,88;312,44
9828641;vareprøve shorts;21309;356;201101;190;SHORTS;10;MEN;90;0;0;90;2;180;2;180;149,83;0;299,66
9828648;VAREPRØVER SKJORTER;306370;405;201103;160;SHIRTS;10;MEN;46,5;2;93;46,5;6;279;8;372;146,85;293,7;881,1
9828655;VAREPRØVER DRESS;402321;5;201103;210;WOMEN;40;WOMEN;60;0;0;60;1;60;1;60;203,83;0;203,83
9828695;VAREPRØVE VEST;70354;5;201103;100;OUTERWEAR;10;MEN;1050;1;1050;1050;0;0;1;1050;1064,55;1064,55;0
9828703;VAREPRØVER JAKKER;74682;5;201103;100;OUTERWEAR;10;MEN;350;0;0;350;1;350;1;350;337,84;0;337,84
9828711;VAREPRØVE SKINN;78001;204;201103;130;LEATHER;10;MEN;1850;20;37000;1850;0;0;20;37000;1981,35;39627;0
